epoch,lr,train_loss,train_acc,test_loss,test_acc,raw_acc,mixed_ratio,epoch_time,best_acc
173,0.004656,0.8847,80.81,0.6072,96.10,95.52,0.469,13.7,96.21
174,0.004323,0.9132,78.52,0.6069,96.17,95.67,0.523,13.8,96.21
175,0.004001,0.9174,80.13,0.6067,96.22,95.77,0.515,13.8,96.22
176,0.003691,0.9166,77.67,0.6070,96.29,95.64,0.544,13.8,96.29
177,0.003394,0.9078,78.58,0.6071,96.26,95.87,0.515,13.8,96.29
178,0.003108,0.8577,81.54,0.6055,96.31,95.86,0.449,13.8,96.31
179,0.002834,0.8520,81.65,0.6041,96.32,95.94,0.451,13.8,96.32
180,0.002573,0.8772,80.57,0.6043,96.29,95.98,0.482,13.8,96.32
181,0.002324,0.8868,80.93,0.6046,96.36,95.90,0.500,13.8,96.36
182,0.002088,0.9222,78.58,0.6062,96.35,96.20,0.546,13.8,96.36
183,0.001864,0.8325,82.92,0.6042,96.29,96.22,0.469,13.8,96.36
184,0.001652,0.9060,77.94,0.6050,96.36,96.19,0.526,13.8,96.36
185,0.001453,0.8937,79.49,0.6048,96.31,96.33,0.513,13.8,96.36
186,0.001266,0.8680,80.16,0.6041,96.26,96.04,0.518,13.8,96.36
187,0.001093,0.8466,81.85,0.6033,96.28,96.24,0.469,13.8,96.36
188,0.000931,0.8893,78.43,0.6039,96.28,96.23,0.518,13.8,96.36
189,0.000783,0.8661,82.90,0.6033,96.32,96.33,0.482,13.8,96.36
190,0.000647,0.8380,84.65,0.6021,96.41,96.47,0.451,13.8,96.41
191,0.000525,0.8804,81.21,0.6024,96.40,96.33,0.495,13.8,96.41
192,0.000415,0.8775,80.43,0.6026,96.40,96.37,0.518,13.8,96.41
193,0.000318,0.8628,81.16,0.6023,96.43,96.25,0.513,13.8,96.43
194,0.000233,0.8860,80.38,0.6031,96.34,96.34,0.515,13.8,96.43
195,0.000162,0.8524,82.21,0.6027,96.37,96.31,0.505,13.8,96.43
196,0.000104,0.9016,80.05,0.6038,96.38,96.32,0.536,13.8,96.43
197,0.000058,0.8435,82.21,0.6027,96.37,96.34,0.479,13.8,96.43
198,0.000026,0.9045,77.34,0.6041,96.38,96.40,0.546,13.8,96.43
199,0.000006,0.8854,79.37,0.6045,96.38,96.39,0.546,13.8,96.43
200,0.000000,0.8376,80.23,0.6029,96.40,96.43,0.472,13.8,96.43
