epoch,lr,train_loss,train_acc,test_loss,test_acc,raw_acc,mixed_ratio,epoch_time,best_acc
129,0.029296,0.5926,96.00,0.7007,91.91,91.91,0.000,12.3,92.66
130,0.028565,0.5937,95.97,0.6777,92.41,92.41,0.000,12.3,92.66
131,0.027840,0.5885,96.22,0.6770,92.69,92.69,0.000,12.2,92.69
132,0.027121,0.5879,96.22,0.6834,92.54,92.54,0.000,12.2,92.69
133,0.026408,0.5839,96.43,0.6836,92.52,92.52,0.000,12.3,92.69
134,0.025701,0.5834,96.44,0.6832,92.35,92.35,0.000,12.2,92.69
135,0.025000,0.5829,96.45,0.6684,93.04,93.04,0.000,12.2,93.04
136,0.024306,0.5769,96.75,0.6767,92.66,92.66,0.000,12.2,93.04
137,0.023618,0.5792,96.59,0.6834,92.41,92.41,0.000,12.2,93.04
138,0.022937,0.5750,96.73,0.6716,92.83,92.83,0.000,12.2,93.04
139,0.022263,0.5734,96.94,0.6881,92.33,92.33,0.000,12.3,93.04
140,0.021597,0.5714,97.01,0.6704,93.07,93.07,0.000,12.2,93.07
141,0.020938,0.5703,97.04,0.6767,92.80,92.80,0.000,12.3,93.07
142,0.020286,0.5636,97.36,0.6898,92.47,92.47,0.000,12.2,93.07
143,0.019642,0.5652,97.29,0.6632,93.47,93.47,0.000,12.3,93.47
144,0.019006,0.5642,97.30,0.6613,93.29,93.29,0.000,12.3,93.47
145,0.018378,0.5608,97.40,0.6630,93.33,93.33,0.000,12.2,93.47
146,0.017758,0.5552,97.66,0.6762,93.03,93.03,0.000,12.3,93.47
147,0.017146,0.5554,97.66,0.6694,93.01,93.01,0.000,12.3,93.47
148,0.016543,0.5553,97.64,0.6691,92.98,92.98,0.000,12.2,93.47
149,0.015949,0.5531,97.75,0.6595,93.58,93.58,0.000,12.2,93.58
150,0.015364,0.5493,97.95,0.6594,93.54,93.54,0.000,12.2,93.58
151,0.014787,0.5477,97.99,0.6661,93.36,93.36,0.000,12.3,93.58
152,0.014220,0.5455,98.07,0.6575,93.77,93.77,0.000,12.3,93.77
153,0.013662,0.5423,98.22,0.6581,93.57,93.57,0.000,12.2,93.77
154,0.013113,0.5392,98.41,0.6571,93.77,93.77,0.000,12.3,93.77
155,0.012574,0.5400,98.37,0.6678,93.59,93.59,0.000,12.2,93.77
156,0.012045,0.5375,98.45,0.6605,93.62,93.62,0.000,12.3,93.77
157,0.011526,0.5373,98.49,0.6561,93.80,93.80,0.000,12.2,93.80
158,0.011016,0.5360,98.52,0.6586,93.75,93.75,0.000,12.2,93.80
159,0.010517,0.5341,98.62,0.6504,93.97,93.97,0.000,12.2,93.97
160,0.010028,0.5304,98.74,0.6531,94.00,94.00,0.000,12.3,94.00
161,0.009549,0.5282,98.81,0.6442,94.35,94.35,0.000,12.3,94.35
162,0.009081,0.5262,98.93,0.6513,94.02,94.02,0.000,12.2,94.35
163,0.008623,0.5246,99.06,0.6496,94.30,94.30,0.000,12.2,94.35
164,0.008176,0.5246,99.04,0.6524,94.21,94.21,0.000,12.3,94.35
165,0.007740,0.5239,99.02,0.6509,94.27,94.27,0.000,12.2,94.35
166,0.007315,0.5207,99.19,0.6470,94.54,94.54,0.000,12.2,94.54
167,0.006902,0.5199,99.21,0.6584,93.80,93.80,0.000,12.2,94.54
168,0.006499,0.5182,99.28,0.6372,94.81,94.81,0.000,12.1,94.81
169,0.006107,0.5161,99.38,0.6398,94.67,94.67,0.000,12.2,94.81
170,0.005727,0.5160,99.39,0.6439,94.58,94.58,0.000,12.3,94.81
171,0.005359,0.5152,99.42,0.6429,94.37,94.37,0.000,12.3,94.81
172,0.005002,0.5149,99.45,0.6417,94.58,94.58,0.000,12.2,94.81
173,0.004656,0.5143,99.43,0.6364,94.76,94.76,0.000,12.2,94.81
174,0.004323,0.5120,99.54,0.6351,94.89,94.89,0.000,12.2,94.89
175,0.004001,0.5103,99.62,0.6372,94.89,94.89,0.000,12.2,94.89
176,0.003691,0.5109,99.57,0.6297,95.11,95.11,0.000,12.2,95.11
177,0.003394,0.5090,99.67,0.6322,94.92,94.92,0.000,12.3,95.11
178,0.003108,0.5090,99.67,0.6332,94.98,94.98,0.000,12.2,95.11
179,0.002834,0.5077,99.73,0.6292,95.17,95.17,0.000,12.2,95.17
180,0.002573,0.5079,99.73,0.6281,95.20,95.20,0.000,12.2,95.20
181,0.002324,0.5075,99.76,0.6273,95.12,95.12,0.000,12.2,95.20
182,0.002088,0.5068,99.76,0.6244,95.49,95.49,0.000,12.2,95.49
183,0.001864,0.5066,99.77,0.6280,95.28,95.28,0.000,12.2,95.49
184,0.001652,0.5063,99.78,0.6270,95.17,95.17,0.000,12.3,95.49
185,0.001453,0.5058,99.81,0.6239,95.37,95.37,0.000,12.2,95.49
186,0.001266,0.5058,99.80,0.6258,95.26,95.26,0.000,12.2,95.49
187,0.001093,0.5052,99.84,0.6229,95.35,95.35,0.000,12.2,95.49
188,0.000931,0.5053,99.82,0.6225,95.39,95.39,0.000,12.3,95.49
189,0.000783,0.5047,99.85,0.6236,95.36,95.36,0.000,12.3,95.49
190,0.000647,0.5047,99.84,0.6250,95.23,95.23,0.000,12.2,95.49
191,0.000525,0.5049,99.83,0.6233,95.32,95.32,0.000,12.2,95.49
192,0.000415,0.5045,99.86,0.6234,95.36,95.36,0.000,12.3,95.49
193,0.000318,0.5045,99.86,0.6226,95.33,95.33,0.000,12.3,95.49
194,0.000233,0.5048,99.85,0.6224,95.33,95.33,0.000,12.2,95.49
195,0.000162,0.5046,99.85,0.6222,95.33,95.33,0.000,12.2,95.49
196,0.000104,0.5045,99.86,0.6218,95.41,95.41,0.000,12.1,95.49
197,0.000058,0.5045,99.86,0.6224,95.32,95.32,0.000,12.2,95.49
198,0.000026,0.5043,99.87,0.6227,95.34,95.34,0.000,12.3,95.49
199,0.000006,0.5046,99.83,0.6218,95.34,95.34,0.000,12.3,95.49
200,0.000000,0.5048,99.85,0.6218,95.37,95.37,0.000,12.3,95.49
